name,url,description,datePublished,imagen,pais,Fuente
"Covid-19: En nueva actualización van 1,626 casos y 9,593 pruebas",https://lahora.gt/covid-19-en-nueva-actualizacion-van-1626-casos-y-9593-pruebas/,"Por Margarita Girón jgiron@lahora.com.gt En la última actualización publicada por el Ministerio de Salud Pública y Asistencia Social (MSPAS), se registraron 1,626 nuevos contagios de Covid-19. Con est",29-04-2021 17:35,https://www.bing.com/th?id=OVFT.WgYghykqemsgQp6LJi5GvC,Guatemala,La Hora
"Puesto de Vacunación COVID-19 es habilitado en Centro Norte, ciudad capital",https://radiotgw.gob.gt/puesto-de-vacunacion-covid-19-es-habilitado-en-centro-norte-ciudad-capital/,"TGW Digital – El Ministerio de Salud Pública y Asistencia Social (MSPAS) inauguró el Puesto de Vacunación COVID-19, en coordinación con la Fundación para el Desarrollo de Guatemala",29-04-2021 19:27,https://www.bing.com/th?id=OVFT.drhzYloUNwMll7aUa6OSFC,Guatemala,TGW
"Japón donará 1,5 millones de dólares a Guatemala para conservación de vacunas",https://crnnoticias.com/japon-donara-15-millones-de-dolares-a-guatemala-para-conservacion-de-vacunas/,"Japón donará 1,5 millones de dólares a Guatemala para cooperar con el país en la conservación de las vacunas contra el COVID-19.",29-04-2021 20:30,https://www.bing.com/th?id=OVFT.qUsHzmqvMZGhkcCsUKxZ5i,Guatemala,CRN Noticias
Coronavirus: Llegan a Guatemala 321 mil dosis de AstraZeneca mediante Covax,https://www.prensalibre.com/guatemala/comunitario/coronavirus-llegan-a-guatemala-321-mil-dosis-de-astrazeneca-mediante-covax-breaking/,Avión arriba al Aeropuerto Internacional la Aurora con más de 327 mil vacunas contra el covid-19. (Foto: Ministerio de Salud) Autoridades del Ministerio de Salud Pública y Asistencia Social recibieron,29-04-2021 21:34,https://www.bing.com/th?id=OVFT.-p6l33isXlciXW376-rb8S,Guatemala,Prensa Libre
Presidente Giammattei anuncia que el 4 de mayo iniciará la fase 2 de vacunación contra COVID-19,https://radiotgw.gob.gt/presidente-giammattei-anuncia-que-el-4-de-mayo-iniciara-la-fase-2-de-vacunacion-contra-covid-19/,TGW Digital – En cadena nacional el presidente Alejandro Giammattei resaltó el ingreso a Guatemala de las 321 mil 600 dosis de la vacuna COVID-19 de la casa AstraZeneca. Esto nos permite a,30-04-2021 02:29,https://www.bing.com/th?id=OVFT.4XC5aJpj0WA2S5I84iu-DS,Guatemala,TGW
Giammattei quita restricciones por el covid-19,https://republica.gt/2021/04/29/giammattei-quita-restricciones-por-el-covid-19/,Este viernes 30 de abril finalizan las restricciones impuestas por el Gobierno de Guatemala ante el incremento de casos de covid.,30-04-2021 02:48,https://www.bing.com/th?id=OVFT.IU4Qux1kGp4j5gIy-bF_2S,Guatemala,Republica
Guatemala recibe 321 mil 600 dosis de AstraZeneca adquiridas mediante Covax,https://www.guatevision.com/nacionales/guatemala-recibe-321-mil-600-dosis-de-astrazeneca-adquiridas-mediante-covax,"El tercer envío de vacunas del mecanismo Covax a Guatemala será por la misma cantidad, 321 mil 600 dosis. Autoridades del Ministerio de Salud Pública y Asistencia Social recibieron este jueves 29 de a",30-04-2021 03:56,https://www.bing.com/th?id=OVFT.Gzi7th2SWMNqisZUXOzlHC,Guatemala,Guatevision
Guatemala con más vacunas AstraZeneca para iniciar segunda fase de vacunación,https://crnnoticias.com/guatemala-dosis-vacunas-astrazeneca-quioscos-registro-vacunacion/,"El Gobierno iniciará el próximo 4 de mayo la vacunación de los adultos mayores de 70 años, con previo registro.",30-04-2021 04:08,https://www.bing.com/th?id=OVFT.dylPFSu6_dwjg76CXzGa4C,Guatemala,CRN Noticias
Disposiciones presidenciales: estado de Prevención queda sin efecto y la ley seca vuelve a las 21 horas,https://www.guatevision.com/nacionales/disposiciones-presidenciales-estado-de-prevencion-queda-sin-efecto-y-la-ley-seca-vuelve-a-las-21-horas-breaking,"Presidente Alejandro Giammattei no prorroga el estado de Prevención, que concluye el viernes 30 de abril. En las últimas semanas, Guatemala ha registrado un incremento considerable en el número de cas",30-04-2021 08:42,https://www.bing.com/th?id=OVFT.LjQcUCyL2z6HjdGIClM3uS,Guatemala,Guatevision
Pocas vacunas y un deficiente plan de vacunación: las realidades que acechan a Guatemala frente al covid-19,https://www.prensalibre.com/guatemala/comunitario/pocas-vacunas-y-un-deficiente-plan-de-vacunacion-las-realidades-que-acechan-a-guatemala-frente-al-covid-19/,"El mecanismo Covax ha demostrado no ser confiable y el plan de vacunación tampoco ha demostrado su eficacia, mientras Guatemala se sigue quedando rezagada frente a la lucha contra el covid-19",30-04-2021 11:30,https://www.bing.com/th?id=OVFT.0fMC7Xo_Z7oW4sOmAxVdmC,Guatemala,Prensa Libre
